1806-01-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0 (0 + 0);deklaracija o zastiti cirilice: 0 (0 + 0);zakon o opstem upravnom postupku: 0 (0 + 0);odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0 (0 + 0);odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0 (0 + 0)
1806-07-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0 (0 + 0);deklaracija o zastiti cirilice: 0 (0 + 0);zakon o opstem upravnom postupku: 0 (0 + 0);odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0 (0 + 0);odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0 (0 + 0)
1807-01-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0 (0 + 0);deklaracija o zastiti cirilice: 0 (0 + 0);zakon o opstem upravnom postupku: 0 (0 + 0);odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0 (0 + 0);odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0 (0 + 0)
1807-07-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0 (0 + 0);deklaracija o zastiti cirilice: 0 (0 + 0);zakon o opstem upravnom postupku: 0 (0 + 0);odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0 (0 + 0);odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0 (0 + 0)
1808-01-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0 (0 + 0);deklaracija o zastiti cirilice: 0 (0 + 0);zakon o opstem upravnom postupku: 0 (0 + 0);odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0 (0 + 0);odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0 (0 + 0)
1808-07-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0 (0 + 0);deklaracija o zastiti cirilice: 0 (0 + 0);zakon o opstem upravnom postupku: 0 (0 + 0);odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0 (0 + 0);odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0 (0 + 0)
1809-01-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0 (0 + 0);deklaracija o zastiti cirilice: 0 (0 + 0);zakon o opstem upravnom postupku: 0 (0 + 0);odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0 (0 + 0);odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0 (0 + 0)
1809-07-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0 (0 + 0);deklaracija o zastiti cirilice: 0 (0 + 0);zakon o opstem upravnom postupku: 0 (0 + 0);odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0 (0 + 0);odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0 (0 + 0)
1810-01-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0 (0 + 0);deklaracija o zastiti cirilice: 0 (0 + 0);zakon o opstem upravnom postupku: 0 (0 + 0);odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0 (0 + 0);odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0 (0 + 0)
1810-07-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0 (0 + 0);deklaracija o zastiti cirilice: 0 (0 + 0);zakon o opstem upravnom postupku: 0 (0 + 0);odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0 (0 + 0);odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0 (0 + 0)
